taxonID	scientificName	old_page_id	new_page_id	status
46a14bc4-d120-346e-995d-9ee6b53114eb	Cypripedium reginae Walter	10001290		skip:unparseable_collation:222
176007a3-30e0-3550-9636-c46aec6312f3	Loasa sagittata		779269	ok
dfddd3fc-7eda-35df-bf5a-addba4196783	Sedum litoreum Guss.	33121156		skip:unparseable_collation:185, t. 37, f. 2
8be159b8-0e3b-3842-80f0-36bf6526b1c7	Iris douglasiana Herb.	33068533		skip:unparseable_collation:395
e9b6e6a7-04b1-3f6f-b7bf-9363599a8981	Cypripedium calceolus L.	33355180		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.volume=2&rft.spage=951&rft_id=https://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
42931185-cc6e-3f23-9a3a-30a62a1e9d50	Gladiolus hollandii L.Bolus	33333618		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.volume=69&rft.spage=261&rft_id=https://www.biodiversitylibrary.org/bibliography/15787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
58d5dcae-99a9-32c2-815f-d071c3463e1a	Lilium leucanthum (Baker) Baker			skip:unparseable_collation:26(pts. 2-3): 337
20249953-c5f0-3c6d-9672-29dac5814f2d	Cypripedium montanum Douglas ex Lindl.	33355102		skip:unparseable_collation:528
4bec0a97-1810-3294-ae35-679809f546bb	Erythrochiton brasiliensis Nees & Mart.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.volume=11&rft.spage=166&rft_id=https://www.biodiversitylibrary.org/bibliography/65147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
a0e33b30-6de9-3e6f-a431-5af6905f7734	Erica diaphana Spreng.	33333952		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.volume=2&rft.spage=178&rft_id=https://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
0f8ef1da-5114-32ad-9bc5-50bc501ebc75	Chrysophyllum L.	33355180		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.volume=1&rft.spage=192&rft_id=https://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
c2dca2b4-8345-38fb-b311-7d34c9d9b4dc	Cephalanthera austiniae (A.Gray) A.Heller	33068389		skip:unparseable_collation:4
48440ef6-f7a8-3b45-bcbc-9ffc31247b3c	Cymbopetalum baillonii R.E.Fr.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.volume=10&rft.spage=190&rft_id=https://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
8813822a-003f-3255-96b5-47391359bf52	Roystonea princeps (Becc.) Burret			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.volume=63&rft.spage=76&rft_id=https://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
b9214f7d-50d3-3a86-808c-a6981aa39491	Boechera holboellii			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1976&rft.volume=128&rft.spage=513&rft_id=https://www.biodiversitylibrary.org/bibliography/6050&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
f0b51237-7d65-3fab-b8fc-76d1db8876ca	Ptelea baldwinii	5290683	5290683	ok
